sample,budget,resource,marginal_benefit_pp,optimal_allocation,allocation_share_pct,alpha,policy_cap
baseline_5,0.46,Nickel,0.023581614193148057,1.0833077056418137e-05,0.0010833077056418138,0.65,0.4
baseline_5,0.46,Cobalt,0.005582745986590835,1.7658923582526735e-07,1.7658923582526734e-05,0.65,0.4
baseline_5,0.46,Graphite,0.6688132398066777,0.15325433954632145,15.325433954632144,0.65,0.4
baseline_5,0.46,Rare earths,0.8477545602245397,0.3017166482863155,30.17166482863155,0.65,0.4
baseline_5,0.46,Copper,0.20131408792562575,0.0049614748931125245,0.49614748931125247,0.65,0.4
baseline_5,0.48,Lithium,0.042043765132224464,5.8985330043410575e-05,0.005898533004341058,0.65,0.4
baseline_5,0.48,Nickel,0.023581614193148057,1.1304080406697187e-05,0.0011304080406697187,0.65,0.4
baseline_5,0.48,Cobalt,0.005582745986590835,1.8426702868723548e-07,1.842670286872355e-05,0.65,0.4
baseline_5,0.48,Graphite,0.6688132398066777,0.1599175717005093,15.99175717005093,0.65,0.4
baseline_5,0.48,Rare earths,0.8477545602245397,0.3148347634291988,31.48347634291988,0.65,0.4
baseline_5,0.48,Copper,0.20131408792562575,0.005177191192813067,0.5177191192813067,0.65,0.4
baseline_5,0.5,Lithium,0.042043765132224464,6.144305212855268e-05,0.006144305212855268,0.65,0.4
baseline_5,0.5,Nickel,0.023581614193148057,1.1775083756976239e-05,0.001177508375697624,0.65,0.4
baseline_5,0.5,Cobalt,0.005582745986590835,1.9194482154920364e-07,1.9194482154920366e-05,0.65,0.4
baseline_5,0.5,Graphite,0.6688132398066777,0.1665808038546972,16.65808038546972,0.65,0.4
baseline_5,0.5,Rare earths,0.8477545602245397,0.327952878572082,32.7952878572082,0.65,0.4
baseline_5,0.5,Copper,0.20131408792562575,0.005392907492513612,0.5392907492513612,0.65,0.4
baseline_5,0.52,Lithium,0.042043765132224464,6.390077421369479e-05,0.006390077421369479,0.65,0.4
baseline_5,0.52,Nickel,0.023581614193148057,1.224608710725529e-05,0.001224608710725529,0.65,0.4
baseline_5,0.52,Cobalt,0.005582745986590835,1.9962261441117183e-07,1.996226144111718e-05,0.65,0.4
baseline_5,0.52,Graphite,0.6688132398066777,0.17324403600888505,17.324403600888505,0.65,0.4
baseline_5,0.52,Rare earths,0.8477545602245397,0.34107099371496535,34.10709937149654,0.65,0.4
baseline_5,0.52,Copper,0.20131408792562575,0.005608623792214156,0.5608623792214157,0.65,0.4
baseline_5,0.54,Lithium,0.042043765132224464,6.635849629883691e-05,0.006635849629883691,0.65,0.4
baseline_5,0.54,Nickel,0.023581614193148057,1.2717090457534337e-05,0.0012717090457534336,0.65,0.4
baseline_5,0.54,Cobalt,0.005582745986590835,2.0730040727313994e-07,2.0730040727313994e-05,0.65,0.4
baseline_5,0.54,Graphite,0.6688132398066777,0.17990726816307298,17.990726816307298,0.65,0.4
baseline_5,0.54,Rare earths,0.8477545602245397,0.35418910885784866,35.41891088578487,0.65,0.4
baseline_5,0.54,Copper,0.20131408792562575,0.0058243400919147014,0.5824340091914701,0.65,0.4
baseline_5,0.56,Lithium,0.042043765132224464,6.881621838397903e-05,0.006881621838397903,0.65,0.4
baseline_5,0.56,Nickel,0.023581614193148057,1.3188093807813393e-05,0.0013188093807813394,0.65,0.4
baseline_5,0.56,Cobalt,0.005582745986590835,2.1497820013510815e-07,2.1497820013510817e-05,0.65,0.4
baseline_5,0.56,Graphite,0.6688132398066777,0.18657050031726094,18.657050031726094,0.65,0.4
baseline_5,0.56,Rare earths,0.8477545602245397,0.36730722400073196,36.7307224000732,0.65,0.4
baseline_5,0.56,Copper,0.20131408792562575,0.006040056391615249,0.6040056391615249,0.65,0.4
baseline_5,0.58,Lithium,0.042043765132224464,7.127394046912113e-05,0.007127394046912113,0.65,0.4
baseline_5,0.58,Nickel,0.023581614193148057,1.3659097158092436e-05,0.0013659097158092437,0.65,0.4
baseline_5,0.58,Cobalt,0.005582745986590835,2.2265599299707626e-07,2.2265599299707626e-05,0.65,0.4
baseline_5,0.58,Graphite,0.6688132398066777,0.19323373247144876,19.323373247144875,0.65,0.4
baseline_5,0.58,Rare earths,0.8477545602245397,0.38042533914361515,38.04253391436151,0.65,0.4
baseline_5,0.58,Copper,0.20131408792562575,0.006255772691315791,0.6255772691315791,0.65,0.4
baseline_5,0.6,Lithium,0.042043765132224464,7.373166255426322e-05,0.007373166255426322,0.65,0.4
baseline_5,0.6,Nickel,0.023581614193148057,1.4130100508371481e-05,0.001413010050837148,0.65,0.4
baseline_5,0.6,Cobalt,0.005582745986590835,2.3033378585904437e-07,2.3033378585904438e-05,0.65,0.4
baseline_5,0.6,Graphite,0.6688132398066777,0.19989696462563666,19.989696462563668,0.65,0.4
baseline_5,0.6,Rare earths,0.8477545602245397,0.3935434542864984,39.354345428649836,0.65,0.4
