seed,resource,marginal_benefit_pp
2126,Rare earths,0.9505422005121726
2126,Copper,0.2693105151421129
2127,Lithium,0.03518947094437763
2127,Nickel,0.02010370621396973
2127,Cobalt,0.008090706418707683
2127,Graphite,0.7673371526720576
2127,Rare earths,0.9157673005969453
2127,Copper,0.1571493155905106
2128,Lithium,0.051038972709971375
2128,Nickel,0.015504408317909224
2128,Cobalt,0.010186012526450128
2128,Graphite,0.7826671917034691
2128,Rare earths,0.9075083058536038
2128,Copper,0.19521498095398826
2129,Lithium,0.04221387967740853
2129,Nickel,0.022108338201414668
2129,Cobalt,0.0012324758077255638
2129,Graphite,0.5861520801539353
2129,Rare earths,0.9093385520739883
2129,Copper,0.25483042635244146
2130,Lithium,0.06342250421851858
2130,Nickel,0.032849713293226834
2130,Cobalt,0.0036099201492172384
2130,Graphite,0.5231391829401941
2130,Rare earths,0.7696973285201194
2130,Copper,0.2127161077481361
2131,Lithium,0.037856935182514206
2131,Nickel,0.039206136369598354
2131,Cobalt,0.0020789755801029486
2131,Graphite,0.7690510143184408
2131,Rare earths,0.9726788472303891
2131,Copper,0.2955217171438793
2132,Lithium,0.03733384014500629
2132,Nickel,0.04085008892637099
2132,Cobalt,0.0029698336962482585
2132,Graphite,0.6495507499543027
2132,Rare earths,0.9187546848070776
2132,Copper,0.17369481509503792
2133,Lithium,0.039506158105293565
2133,Nickel,0.01251314454779262
2133,Cobalt,0.00581100462807882
2133,Graphite,0.7658549865997522
2133,Rare earths,0.9738138495269659
2133,Copper,0.19178652468972146
2134,Lithium,0.033403773785479984
2134,Nickel,0.00999303132266327
2134,Cobalt,0.007299472858070644
2134,Graphite,0.7567339021877295
2134,Rare earths,0.9641642105309574
2134,Copper,0.08401550054043838
2135,Lithium,0.03445356076635164
2135,Nickel,0.03501504515326914
2135,Cobalt,0.010356207147731666
2135,Graphite,0.709471937569691
2135,Rare earths,0.7686210810833147
2135,Copper,0.1783203610492663
2136,Lithium,0.02361398628351452
2136,Nickel,0.02089702917920988
2136,Cobalt,0.0013176592389498865
2136,Graphite,0.700275733157353
2136,Rare earths,0.8251726939571462
2136,Copper,0.24988109327650676
2137,Lithium,0.05283959057289067
2137,Nickel,0.006690699068087724
2137,Cobalt,0.011842545155710482
2137,Graphite,0.7142848481478303
2137,Rare earths,0.9542048121446225
2137,Copper,0.404281422916533
2138,Lithium,0.027355224733756955
2138,Nickel,0.045249634016561124
2138,Cobalt,0.007040551045275123
2138,Graphite,0.5180535858529796
2138,Rare earths,0.756210072100334
2138,Copper,0.1376371621598782
2139,Lithium,0.027793930360173746
2139,Nickel,0.03183630429716988
2139,Cobalt,0.004266676823687199
2139,Graphite,0.5862008364602032
2139,Rare earths,0.7574168321365233
2139,Copper,0.1631210645505119
2140,Lithium,0.042193131052457034
2140,Nickel,0.01267075128662043
2140,Cobalt,0.0210840594434778
2140,Graphite,0.7333086733045064
2140,Rare earths,1.1209666666624845
2140,Copper,0.09498454117412258
2141,Lithium,0.026465775240721356
2141,Nickel,0.01339010066718238
2141,Cobalt,0.0040094106458266054
2141,Graphite,0.7177995862375273
2141,Rare earths,1.0312379701922172
2141,Copper,0.19873793222345526
2142,Lithium,0.02939085037830136
2142,Nickel,0.026372788988164864
2142,Cobalt,0.002634097862904916
2142,Graphite,0.641814508543538
2142,Rare earths,0.7678392663811451
2142,Copper,0.11376366316687125
2143,Lithium,0.03448803815074797
2143,Nickel,0.02189457824061236
2143,Cobalt,0.003118925767012115
2143,Graphite,0.5835689088376323
2143,Rare earths,0.9902814027143725
2143,Copper,0.21760436998925314
2144,Lithium,0.04237723537228
2144,Nickel,0.0029140586933706913
2144,Cobalt,0.001261642850714395
2144,Graphite,0.6861076853172507
2144,Rare earths,0.8623479105743392
2144,Copper,0.2426656343138216
2145,Lithium,0.043279202772781744
2145,Nickel,0.009524520693334537
2145,Cobalt,0.004790362471453591
2145,Graphite,0.6678047950387604
2145,Rare earths,0.8937090496542028
2145,Copper,0.10216537064508646
2146,Lithium,0.03436200248921928
2146,Nickel,0.006028582562370488
2146,Cobalt,0.002818309316692691
2146,Graphite,0.6041410166542729
2146,Rare earths,0.635157239760586
2146,Copper,0.21473875224479677
2147,Lithium,0.06869489008903518
2147,Nickel,0.026518993349648134
2147,Cobalt,0.0012828304352181519
2147,Graphite,0.5944567522907045
2147,Rare earths,0.782453982654304
2147,Copper,0.1632135958039962
2148,Lithium,0.05620011591248186
2148,Nickel,0.02828023507938049
2148,Cobalt,0.0029837709147146896
2148,Graphite,0.6305429106042864
2148,Rare earths,0.7328786601581516
2148,Copper,0.17793329520730072
2149,Lithium,0.049571469199361395
2149,Nickel,0.018423809744549935
2149,Cobalt,0.0030502383851755965
2149,Graphite,0.5993376845655192
2149,Rare earths,0.9597970667414275
2149,Copper,0.06437325225640844
2150,Lithium,0.028739094567201917
2150,Nickel,0.04482977311893244
2150,Cobalt,0.002371627249832642
2150,Graphite,0.6757004737404149
2150,Rare earths,0.9258648564512528
2150,Copper,0.0910143477944576
2151,Lithium,0.029779945887495884
2151,Nickel,0.01819717351076111
2151,Cobalt,0.004299073254022012
2151,Graphite,0.587655324663797
2151,Rare earths,0.7443588790015738
2151,Copper,0.0863928927903812
2152,Lithium,0.038104672039715126
2152,Nickel,0.04608134553625831
2152,Cobalt,0.01195757450065038
2152,Graphite,0.7264621477936561
2152,Rare earths,0.7747622244965218
2152,Copper,0.1832282701140482
2153,Lithium,0.034955288487738656
2153,Nickel,0.026270775999093665
2153,Cobalt,0.006298004049632766
2153,Graphite,0.6710345226472274
2153,Rare earths,0.7781489592019302
2153,Copper,0.19731161998817637
2154,Lithium,0.06723411216751529
2154,Nickel,0.025956097201447648
2154,Cobalt,0.007606007028600814
2154,Graphite,0.5653033998805777
2154,Rare earths,0.9538388575142358
2154,Copper,0.20384107988109967
2155,Lithium,0.03443008840823403
2155,Nickel,0.03165763795387733
2155,Cobalt,0.0014891487582620044
2155,Graphite,0.6681755868251056
2155,Rare earths,0.9985599239424356
2155,Copper,0.18281419144629218
2156,Lithium,0.03558066291095052
2156,Nickel,0.016383901989019733
2156,Cobalt,0.004035476461602627
2156,Graphite,0.642972281580418
2156,Rare earths,0.9915951890941495
2156,Copper,0.14965047650194307
2157,Lithium,0.05381927041011103
2157,Nickel,0.020767428896775186
2157,Cobalt,0.0073858687621974894
2157,Graphite,0.5270835497385571
2157,Rare earths,0.8219226025934709
2157,Copper,0.298728493982062
2158,Lithium,0.03784235141269221
2158,Nickel,0.015291951404732274
2158,Cobalt,0.007495592244856297
2158,Graphite,0.6809291111344526
2158,Rare earths,0.9352512508905422
2158,Copper,0.14308571306530204
2159,Lithium,0.04967247240848671
2159,Nickel,0.01224699218561831
2159,Cobalt,0.0034193544888303506
2159,Graphite,0.6919488006863848
2159,Rare earths,0.9456889623435281
2159,Copper,0.3236369790998861
2160,Lithium,0.0466610663030842
2160,Nickel,0.010792632691899229
2160,Cobalt,0.003168491783920757
2160,Graphite,0.7567342846168597
2160,Rare earths,1.174557344864084
2160,Copper,0.09513005503279715
2161,Lithium,0.03593010268889607
2161,Nickel,0.016340603900351525
2161,Cobalt,0.0034929405629320343
2161,Graphite,0.6579242912106693
2161,Rare earths,0.9867602123160895
2161,Copper,0.23333480338845192
2162,Lithium,0.04126693155482819
