seed,economy,K0,HHI,chi,upstream_alignment,upstream_concentration,supplier_entropy,macro_sensitivity,gamma,worstcase_loss_pct
2073,France,1.0,0.22247554957905752,0.03966834187945787,0.8571904996437184,0.18505764793206173,2.0839766497024375,0.9859280318902555,0.19916912883139765,7.998222171748075
2073,Germany,1.0,0.24030828140493338,0.04525304515196237,0.8472777939598353,0.18923819776151596,2.0760505767889224,0.9292269463184453,0.2127276313786302,7.764588139185215
2073,Italy,1.0,0.2586432086981638,0.043016812333962186,0.8746462480676384,0.17826220522572764,2.090420136467079,1.0269454765339425,0.20740494770849172,7.93288683326988
2073,Netherlands,1.0,0.2685863533148769,0.05436995695630913,0.8484933259617394,0.19580855030652738,2.054972110489012,1.2500561423533596,0.23317366265577494,11.083823921508845
2073,Spain,1.0,0.2931005761815466,0.05062551634415741,0.8804172333997514,0.18505301564047782,2.05291535854981,1.1397013251896737,0.22500114742853516,9.133498548903296
2073,Sweden,1.0,0.21984384210310265,0.03842230233500497,0.8366842613030004,0.18581593654786252,2.102863065605662,1.0187844609434435,0.19601607672587718,8.386577298305788
2073,Denmark,1.0,0.28892542694514284,0.05783039608221486,0.8389993517885007,0.19315496233520119,2.068343356336741,0.9581386637033689,0.24047951281182947,8.351008008595043
2073,Finland,1.0,0.23221204035239573,0.043019485983016095,0.8282717179607463,0.19044832306577625,2.087655060806169,0.9059062857375854,0.2074113930887503,7.6173682542960615
2074,France,1.0,0.21564916998256103,0.03874302078103574,0.8669619478979487,0.18884691808056242,2.0849615502856538,0.9360999532091531,0.19683246881811886,7.38097306293653
2074,Germany,1.0,0.25334625246071796,0.041386541342488786,0.8695541799217572,0.18010387622230067,2.1141904544889405,1.0303538104004273,0.2034368239589106,7.93566303678782
2074,Italy,1.0,0.2601258994220522,0.04637275261128236,0.8911837906209794,0.18669295145189824,2.069988807884534,0.9749776625971247,0.21534333658435398,7.572968597689337
2074,Netherlands,1.0,0.2696740059415829,0.05493545655551028,0.8800548733719067,0.19794242152159391,2.031084731480415,1.178100940720287,0.23438314051038373,9.633699296539866
2074,Spain,1.0,0.2614059367706275,0.04880930082607447,0.8951526781408075,0.1908374309781135,2.0497463989178275,1.130135051951895,0.22092827077147567,8.902436877126712
2074,Sweden,1.0,0.2361953319470567,0.03956625986536029,0.8658638722952131,0.1850083929903752,2.101986918186401,0.9918914985903056,0.19891269407798057,7.886631856180341
2074,Denmark,1.0,0.2929318372882332,0.05890276834477727,0.9039331376539479,0.19750350054579624,2.02111580725197,0.9941255124179575,0.24269892530618523,8.41337265474316
2074,Finland,1.0,0.22989518406887394,0.044327058168545375,0.8638960003814755,0.1944654334903821,2.0627224723063455,0.9267594055540073,0.21053992060544094,7.4775726009407775
